Job_ID  Operation_ID   Start  End    Machine_ID
1	1	0	5	3
1	2	5	111	1
1	3	111	116	3
1	4	116	191	5
1	5	191	196	3
1	6	196	271	7
1	7	384	389	3
1	8	391	394	5
1	9	493	498	3
1	10	502	532	8
1	11	532	537	3
1	12	537	624	6
1	13	624	629	4
1	14	629	659	7
1	15	659	664	3
1	16	713	770	6
1	17	770	775	3
1	18	775	810	8
1	19	828	833	3
1	20	885	889	5
1	21	911	916	3
1	22	920	930	7
1	23	930	935	4
1	24	935	968	6
1	25	1017	1022	4
1	26	1026	1071	7
1	27	1071	1076	3
1	28	1076	1121	5
2	29	103	108	3
2	30	112	218	1
2	31	218	223	3
2	32	223	298	5
2	33	298	303	3
2	34	303	378	7
2	35	378	383	3
2	36	383	386	5
2	37	390	395	3
2	38	395	425	8
2	39	425	430	3
2	40	625	712	6
2	41	712	717	4
2	42	717	747	7
2	43	747	752	3
2	44	822	879	5
2	45	879	884	3
2	46	884	919	7
2	47	936	941	3
2	48	976	980	5
2	49	980	985	4
2	50	985	995	8
2	51	995	1000	4
2	52	1003	1036	6
2	53	1056	1061	3
2	54	1065	1110	8
2	55	1110	1115	3
2	56	1115	1160	6
3	57	224	229	3
3	58	229	335	1
3	59	335	340	3
3	60	340	415	6
3	61	417	422	3
3	62	426	501	8
3	63	501	506	3
3	64	506	509	6
3	65	518	523	3
3	66	527	557	7
3	67	557	562	3
3	68	676	763	5
3	69	763	768	3
3	70	768	798	7
3	71	798	803	3
3	72	829	886	6
3	73	886	891	3
3	74	891	926	8
3	75	926	931	3
3	76	931	935	5
3	77	942	947	3
3	78	947	957	7
3	79	957	962	3
3	80	969	1002	6
3	81	1063	1068	3
3	82	1072	1117	7
3	83	1117	1122	3
3	84	1122	1167	5
4	85	834	835	3
4	86	109	110	3
4	87	835	840	9
4	88	110	125	10
4	89	125	126	3
4	90	126	127	12
4	91	127	128	3
4	92	840	841	3
4	93	841	842	12
4	94	842	843	3
4	95	843	848	11
4	96	949	950	3
4	97	954	955	12
4	98	955	956	3
4	99	956	996	14
4	100	996	997	3
5	101	786	787	3
5	102	6	7	3
5	103	791	796	9
5	104	7	22	10
5	105	22	23	3
5	106	23	24	12
5	107	24	25	3
5	108	796	797	3
5	109	801	802	12
5	110	802	803	4
5	111	803	808	11
5	112	824	825	3
5	113	825	826	12
5	114	826	827	3
5	115	827	867	13
5	116	943	944	4
6	117	240	241	3
6	118	236	237	3
6	119	245	250	9
6	120	241	256	10
6	121	256	257	3
6	122	257	258	12
6	123	258	259	3
6	124	254	255	3
6	125	259	260	12
6	126	260	261	3
6	127	809	814	11
6	128	827	828	4
6	129	828	829	12
6	130	829	830	4
6	131	830	870	14
6	132	870	871	3
7	133	103	108	4
7	134	112	218	2
7	135	218	223	4
7	136	223	298	6
7	137	298	303	4
7	138	303	378	8
7	139	378	383	4
7	140	387	390	5
7	141	456	461	3
7	142	465	495	7
7	143	495	500	4
7	144	500	587	5
7	145	587	592	3
7	146	592	622	7
7	147	622	627	3
7	148	764	821	5
7	149	821	826	4
7	150	826	861	7
7	151	861	866	3
7	152	880	884	5
7	153	945	950	4
7	154	950	960	8
7	155	960	965	4
7	156	981	1014	5
7	157	1014	1019	3
7	158	1019	1064	8
7	159	1064	1069	4
7	160	1069	1114	6
8	161	0	5	4
8	162	5	111	2
8	163	226	231	4
8	164	305	380	5
8	165	384	389	4
8	166	389	464	7
8	167	464	469	3
8	168	469	472	5
8	169	487	492	3
8	170	496	526	7
8	171	526	531	3
8	172	588	675	5
8	173	675	680	3
8	174	680	710	7
8	175	710	715	3
8	176	771	828	6
8	177	831	836	4
8	178	836	871	8
8	179	871	876	4
8	180	887	891	6
8	181	918	923	3
8	182	927	937	8
8	183	937	942	4
8	184	942	975	5
8	185	975	980	3
8	186	980	1025	7
8	187	1025	1030	3
8	188	1030	1075	5
9	189	780	781	3
9	190	224	225	4
9	191	785	790	9
9	192	225	240	10
9	193	240	241	4
9	194	241	242	12
9	195	242	243	3
9	196	794	795	3
9	197	799	800	12
9	198	804	805	3
9	199	815	820	11
9	200	951	952	3
9	201	952	953	12
9	202	953	954	3
9	203	954	994	13
9	204	994	995	3
10	205	918	919	4
10	206	804	805	4
10	207	923	928	9
10	208	805	820	10
10	209	820	821	3
10	210	821	822	12
10	211	822	823	3
10	212	932	933	3
10	213	933	934	12
10	214	934	935	3
10	215	935	940	11
10	216	981	982	3
10	217	985	986	12
10	218	990	991	3
10	219	995	1035	13
10	220	1035	1036	3
