# Precedence Relationships
1, 2
2, 7
2, 12
3, 4
4, 8
4, 10
5, 6
6, 11
7, 9
8, 9
9, 15
10, 12
11, 12
12, 13
12, 17
13, 14
14, 16
15, 17
16, 17
18, 19
19, 24
19, 29
20, 21
21, 25
21, 27
22, 23
23, 28
24, 26
25, 26
26, 32
27, 29
28, 29
29, 30
29, 34
30, 31
31, 33
32, 34
33, 34
35, 36
36, 41
36, 46
37, 38
38, 42
38, 44
39, 40
40, 45
41, 43
42, 43
43, 49
44, 46
45, 46
46, 47
46, 51
47, 48
48, 50
49, 51
50, 51
52, 53
53, 58
53, 63
54, 55
55, 59
55, 61
56, 57
57, 62
58, 60
59, 60
60, 66
61, 63
62, 63
63, 64
63, 68
64, 65
65, 67
66, 68
67, 68
69, 70
70, 75
70, 80
71, 72
72, 76
72, 78
73, 74
74, 79
75, 77
76, 77
77, 83
78, 80
79, 80
80, 81
80, 85
81, 82
82, 84
83, 85
84, 85
# Machine Paths
1,9,77,26,43,60
2,19,36,2,12,70,53,63,80,46,29,68,85,17,51,34
3,4,38,55,72,21
4,74,6,57,14,40,65,82,23,48,31
5,73,5,54,44,18,39,61,11,24,8,22,76,79,41,27,64,67,32,30,84,49,33
6,37,52,3,1,20,71,10,69,35,56,25,13,62,78,42,7,75,58,59,83,81,45,28,47,15,66,50,16
# TCMB Constraints
2, 9, 10
4, 9, 10
4, 12, 10
6, 12, 10
12, 14, 10
14, 17, 10
19, 26, 10
21, 26, 10
21, 29, 10
23, 29, 10
29, 31, 10
31, 34, 10
36, 43, 10
38, 43, 10
38, 46, 10
40, 46, 10
46, 48, 10
48, 51, 10
53, 60, 10
55, 60, 10
55, 63, 10
57, 63, 10
63, 65, 10
65, 68, 10
70, 77, 10
72, 77, 10
72, 80, 10
74, 80, 10
80, 82, 10
82, 85, 10
